id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<ALL>	weight<MPI>	weight<NIH>	weight<CNRS>	weight<NST>	weight<FH>	weight<AIST>	weight<RIKEN>
Developmental and Educational Psychology	0.259	-0.0291	1	51	7460	1865	781	680	341	6	5	19	33
Discrete Mathematics and Combinatorics	-0.3763	-0.1071	1	28	2120	533	144	10	316	7	43	4	9
Drug Discovery	0.5076	-0.6629	6	60	36984	5787	436	1562	1141	1850	127	253	418
Drug Guides	0.6414	-0.4958	6	1	2	1	0	0	1	0	0	0	0
Earth and Planetary Sciences	-0.586	0.3119	1	50	4960	3004	908	11	950	593	171	289	82
Earth and Planetary Sciences (miscellaneous)	-1.2468	0.9378	7	50	32288	2223	809	1	898	237	45	189	44
Earth-Surface Processes	-1.1342	0.8961	7	50	32382	3023	1014	11	1262	443	26	230	37
Ecological Modeling	-0.6659	0.4151	5	33	2108	417	87	8	174	99	22	23	4
Ecology	-0.6405	0.749	7	87	43536	4099	1542	258	1730	241	49	160	119
"Ecology, Evolution, Behavior and Systematics"	0.3234	0.4259	3	81	42364	10756	4059	1184	4026	589	97	336	465
Economic Geology	-0.8915	0.586	1	26	1450	242	8	0	53	102	3	76	0
Economics and Econometrics	-0.1986	0.098	1	78	3366	1300	673	23	443	28	100	31	2
"Economics, Econometrics and Finance"	-0.175	0.0874	1	52	2074	666	202	23	299	27	109	3	3
"Economics, Econometrics and Finance (miscellaneous)"	-0.1959	0.0965	1	47	386	118	46	3	48	2	17	2	0
Education	0.2015	-0.0162	1	116	6214	1317	402	308	282	113	163	18	31
Electrical and Electronic Engineering	-1.0584	-0.217	5	120	165298	35459	3298	247	5413	11347	9424	4341	1389
Electrochemistry	-1.4255	-0.6701	4	34	19966	3550	764	44	811	1067	261	493	110
"Electronic, Optical and Magnetic Materials"	-1.8287	-0.5856	4	70	168836	31906	7301	383	4829	7113	6061	4034	2185
Embryology	0.8984	-0.0523	2	17	1236	288	56	112	53	3	7	15	42
Emergency Medicine	0.5705	-0.0679	2	19	284	156	6	95	29	8	10	5	3
Emergency Nursing	0.5692	-0.0691	2	7	104	36	0	14	16	2	0	4	0
Endocrine and Autonomic Systems	0.8807	-0.0868	2	20	2992	527	171	241	84	7	11	4	9
Endocrinology	0.9456	-0.0744	2	44	18040	3624	466	2311	533	146	14	28	126
"Endocrinology, Diabetes and Metabolism"	0.8176	-0.1177	2	55	19108	4226	451	2976	467	142	22	27	141
Energy	-0.9358	-0.0188	4	58	14054	3118	595	7	522	704	676	528	86
Energy (miscellaneous)	-0.9706	0.0278	5	19	1578	218	24	2	13	95	61	21	2
Energy Engineering and Power Technology	-1.0096	0.0495	5	98	28148	5571	246	6	703	2451	1027	997	141
Engineering	-0.4148	-0.0342	1	96	22558	9920	1110	243	1399	2664	1748	2274	482
Engineering (miscellaneous)	-0.4185	0.041	1	74	3520	1136	567	7	112	201	133	69	47
Environmental Chemistry	-0.8105	0.2531	5	63	22902	4131	723	199	983	1435	257	471	63
